,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,usg_pct,ts_pct,ast_pct,season
11241,11550,Sean McDermott,MEM,24,78.0,195.0,Butler,USA,,Undrafted,Undrafted,18,2.2,1.1,0.2,-17.7,0.101,0.534,0.043,2020-21
7629,2178,Sean Rooks,LAC,31,82.0,260.0,Arizona,USA,1992,2,30,82,5.4,3.7,0.9,0.9,0.157,0.487,0.081,2000-01
10967,5545,Sean Singletary,CHA,23,72.0,185.0,Virginia,USA,2008,2,42,37,2.4,0.9,0.8,-7.3,0.185,0.478,0.174,2008-09
7461,5231,Sean Williams,NJN,21,82.0,235.0,Boston College,USA,2007,1,17,73,5.6,4.4,0.4,-7.0,0.153,0.563,0.037,2007-08
4117,5523,Sebastian Telfair,MIN,24,72.0,175.0,,USA,2004,1,13,75,9.8,1.7,4.6,-3.4,0.195,0.481,0.254,2008-09
9900,203,Sedale Threatt,HOU,35,74.0,185.0,West Virginia Tech,USA,1983,6,139,21,3.3,1.1,1.9,-3.5,0.122,0.451,0.185,1996-97
6205,12267,Sekou Doumbouya,LAL,21,81.0,230.0,,France,2019,1,15,2,7.0,3.0,0.0,67.8,0.286,0.717,0.0,2021-22
10475,9302,Semaj Christon,OKC,24,75.0,190.0,Xavier,USA,2014,2,55,64,2.9,1.4,2.0,-6.5,0.127,0.387,0.193,2016-17
8539,11563,Semi Ojeleye,BOS,26,78.0,240.0,Southern Methodist,USA,2017,2,37,56,4.6,2.6,0.7,-0.2,0.114,0.553,0.054,2020-21
9180,6481,Semih Erden,CLE,24,83.0,240.0,,Turkey,2008,2,60,41,4.0,2.9,0.5,-1.6,0.138,0.593,0.054,2010-11
1701,10998,Serge Ibaka,TOR,30,84.0,235.0,,Republic of the Congo,2008,1,24,55,15.4,8.2,1.4,3.1,0.236,0.583,0.086,2019-20
10283,4017,Sergei Monia,SAC,23,80.0,220.0,,Russia,2004,1,23,26,3.0,2.0,0.7,-24.5,0.143,0.413,0.091,2005-06
8514,8229,Sergey Karasev,BKN,21,79.0,208.0,,Russia,2013,1,19,33,4.6,2.0,1.4,0.7,0.141,0.508,0.123,2014-15
5521,9300,Sergio Rodriguez,PHI,31,75.0,176.0,,Spain,2006,1,27,68,7.8,2.3,5.1,-5.3,0.194,0.484,0.349,2016-17
1827,12252,Seth Curry,BKN,31,74.0,185.0,Duke,USA,,Undrafted,Undrafted,64,15.0,3.1,3.6,4.5,0.182,0.615,0.162,2021-22
2331,8317,Shabazz Muhammad,MIN,22,78.0,227.0,UCLA,USA,2013,1,14,38,13.5,4.1,1.2,-9.7,0.245,0.556,0.091,2014-15
3839,11000,Shabazz Napier,WAS,28,72.0,175.0,Connecticut,USA,2014,1,24,56,10.3,2.8,4.7,-3.6,0.197,0.552,0.295,2019-20
