player_name,age,player_height,player_weight,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,usg_pct,ts_pct,ast_pct,season,POS,BMI,BF,WNGSPN,STNDRCH,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT
Alec Burks,28,78.0,214.0,2011.0,1,12,66,15.0,4.3,2.9,-6.3,0.23,0.561,0.179,2019-20,SG,22.84,0.051,82.0,103.5,29.0,36.0,10.96,,3.17
Alec Peters,23,81.0,235.0,2017.0,2,54,20,4.1,1.9,0.6,7.3,0.151,0.523,0.073,2017-18,PF,25.97,0.088,82.75,105.0,,,,,
Alex Acker,26,77.0,185.0,2005.0,2,60,25,2.9,1.0,0.5,1.8,0.203,0.448,0.091,2008-09,SG,22.42,,84.0,102.5,28.0,32.0,11.67,,3.35
Alex Kirk,23,84.0,245.0,,Undrafted,Undrafted,5,0.8,0.2,0.2,-61.8,0.17,0.41,0.125,2014-15,PF,26.84,0.136,87.5,109.5,28.5,31.5,11.2,3.19,3.48
Alex Len,26,85.0,250.0,2013.0,1,5,77,11.1,5.5,1.1,-4.4,0.214,0.575,0.086,2018-19,C,,0.064,87.5,,,,,,
Alex Scales,27,76.0,195.0,,Undrafted,Undrafted,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005-06,SG-PG,23.53,,81.0,97.5,38.5,42.5,10.98,,3.21
Alize Johnson,25,79.0,212.0,2018.0,2,50,18,5.2,5.0,0.8,-4.5,0.175,0.638,0.11,2020-21,PF,24.24,0.081,80.75,103.0,25.0,31.0,11.83,3.28,3.38
Allan Ray,23,74.0,190.0,,Undrafted,Undrafted,47,6.2,1.5,0.9,-3.2,0.202,0.512,0.105,2006-07,SG,26.91,0.098,80.5,99.5,28.5,35.5,11.01,,3.2
Allen Crabbe,26,78.0,215.0,2013.0,2,31,75,13.2,4.3,1.6,-1.9,0.183,0.558,0.082,2017-18,SG,23.25,0.0465,83.25,103.5,30.5,36.0,10.67,3.1,3.32
Allonzo Trier,23,77.0,200.0,,Undrafted,Undrafted,64,10.9,3.1,1.9,-7.2,0.207,0.564,0.131,2018-19,SG,24.26,0.0495,78.75,98.0,32.0,40.0,11.02,2.97,3.14
Alondes Williams,24,76.0,210.0,,Undrafted,Undrafted,1,0.0,1.0,0.0,-53.0,0.143,0.0,0.0,2022-23,SG,25.61,0.072,79.0,102.0,30.0,35.5,10.96,3.11,3.15
Alton Ford,21,81.0,275.0,2001.0,2,50,53,3.1,2.0,0.1,-8.7,0.175,0.573,0.027,2001-02,PF,29.58,0.08,82.5,102.5,34.5,36.5,11.7,,3.16
Amar'e Stoudemire,22,82.0,245.0,2002.0,1,9,80,26.0,8.9,1.6,10.8,0.286,0.617,0.075,2004-05,PF,25.28,,85.75,108.5,32.0,35.5,11.19,,3.25
Andre Barrett,24,70.0,173.0,,Undrafted,Undrafted,19,4.6,1.3,2.7,-4.7,0.188,0.398,0.28,2005-06,PG,25.43,0.067,73.0,92.0,29.0,34.5,10.63,,3.08
Andre Brown,27,81.0,245.0,,Undrafted,Undrafted,33,3.0,2.8,0.2,-12.2,0.172,0.502,0.045,2007-08,PF-C,25.92,0.06,83.0,107.0,32.0,35.5,11.7,,3.22
Andre Drummond,26,82.0,279.0,2012.0,1,9,57,17.7,15.2,2.7,-5.0,0.253,0.553,0.133,2019-20,C,29.31,0.075,90.25,109.5,31.5,33.5,10.83,,3.39
Andre Emmett,29,77.0,230.0,2004.0,2,35,6,2.2,1.0,0.2,-1.9,0.146,0.618,0.036,2011-12,SG-SF,26.64,0.067,81.0,100.0,,,,,
Andre Iguodala,24,78.0,207.0,2004.0,1,9,82,19.9,5.4,4.8,-0.5,0.24,0.543,0.207,2007-08,SG-SF,25.24,0.067,83.0,105.5,30.5,34.5,11.17,,3.18
Andre Roberson,25,79.0,210.0,2013.0,1,26,79,6.6,5.1,1.0,2.8,0.1,0.51,0.045,2016-17,PF-SF,23.63,0.0705,83.0,104.5,30.0,36.5,11.36,3.02,3.34
Andrew Bogut,25,84.0,260.0,2005.0,1,1,69,15.9,10.2,1.8,4.9,0.234,0.54,0.101,2009-10,C-PF,25.57,,87.0,110.5,27.5,33.5,12.06,,3.51
Andrew Goudelock,23,75.0,200.0,2011.0,2,46,40,4.4,0.8,0.5,-4.2,0.228,0.488,0.085,2011-12,PG,25.89,0.099,76.25,96.5,32.5,37.0,10.33,,3.1
Andrew Harrison,23,78.0,213.0,2015.0,2,44,56,9.5,2.3,3.2,-7.3,0.195,0.534,0.222,2017-18,PG,25.61,0.059,81.0,100.0,26.5,33.0,11.2,,3.34
Andrew Nembhard,23,75.0,191.0,2022.0,2,31,75,9.5,2.7,4.5,-5.9,0.159,0.528,0.222,2022-23,PG,24.45,0.044,77.75,99.0,26.5,35.0,10.46,3.02,3.26
Andrew Nicholson,23,81.0,250.0,2012.0,1,19,75,7.8,3.4,0.6,-6.9,0.221,0.557,0.062,2012-13,PF,25.39,0.076,88.0,107.0,28.5,30.5,11.89,,3.67
Andy Rautins,24,76.0,190.0,2010.0,2,38,5,1.6,0.2,0.6,-18.8,0.278,0.508,0.25,2010-11,SG,23.17,0.062,79.0,100.0,23.5,30.5,11.27,,3.49
Anfernee Simons,24,75.0,181.0,2018.0,1,24,62,21.1,2.6,4.1,-1.6,0.247,0.581,0.186,2022-23,SG-PG,23.36,0.077,81.25,99.5,32.0,41.5,11.27,3.16,3.1
Anthony Brown,23,79.0,210.0,2015.0,2,34,29,4.0,2.4,0.7,-4.3,0.11,0.427,0.048,2015-16,SF-SG,24.54,0.061,83.0,104.5,27.5,34.5,10.94,3.29,3.18
Anthony Davis,25,82.0,253.0,2012.0,1,1,75,28.1,11.1,2.3,5.0,0.291,0.612,0.104,2017-18,PF-C,23.62,0.079,89.5,108.0,,,,,
Anthony Grundy,27,75.0,185.0,,Undrafted,Undrafted,12,4.3,1.4,0.8,10.7,0.22,0.589,0.13,2005-06,PG-SG,22.18,,79.75,99.0,27.5,32.0,11.1,,3.39
Anthony Randolph,20,82.0,210.0,2008.0,1,14,33,11.6,6.5,1.3,-6.0,0.235,0.521,0.089,2009-10,PF-SF,21.11,0.047,87.0,109.0,29.0,35.0,11.86,,3.26
